DATE,NATURALGAS
01/07/2022,2582.8
01/08/2022,2559.3
01/09/2022,2288
01/10/2022,2363.7
01/11/2022,2767
01/12/2022,3375.9
01/01/2023,3301.7
01/02/2023,2947.4
01/03/2023,3010
01/04/2023,2421.4
01/05/2023,2315.8
01/06/2023,2356.5
01/07/2023,2665.5
01/08/2023,2674
01/09/2023,2368.1
01/10/2023,2440.8
01/11/2023,2825
01/12/2023,3331.6
