DATE,MRTSSM44000USN
01/08/2018,455946
01/09/2018,417072
01/10/2018,441746
01/11/2018,459172
01/12/2018,493167
01/01/2019,398783
01/02/2019,384243
01/03/2019,446272
01/04/2019,441878
01/05/2019,474963
01/06/2019,447578
01/07/2019,461010
01/08/2019,472517
01/09/2019,428241
01/10/2019,454941
01/11/2019,467189
01/12/2019,518979
01/01/2020,417123
01/02/2020,413923
01/03/2020,426258
01/04/2020,376867
01/05/2020,461785
01/06/2020,479784
01/07/2020,492689
01/08/2020,487325
01/09/2020,474038
01/10/2020,493601
01/11/2020,490941
01/12/2020,557696
01/01/2021,461308
01/02/2021,437031
01/03/2021,560218
01/04/2021,554269
01/05/2021,565177
01/06/2021,557446
01/07/2021,552179
01/08/2021,550169
01/09/2021,529133
01/10/2021,553588
01/11/2021,574978
01/12/2021,627113
01/01/2022,516923
01/02/2022,507901
01/03/2022,598541
01/04/2022,596690
01/05/2022,616626
01/06/2022,609743
01/07/2022,599929
01/08/2022,613508
01/09/2022,577966
01/10/2022,597170
01/11/2022,605205
01/12/2022,654825
01/01/2023,547156
01/02/2023,529374
01/03/2023,604084
01/04/2023,588220
01/05/2023,631496
01/06/2023,612243
01/07/2023,605403
01/08/2023,628192
01/09/2023,593695
01/10/2023,606718
01/11/2023,623010
01/12/2023,671582
01/01/2024,553748
