DATE,IPB51100N
01/07/1986,48.7754
01/08/1986,51.4509
01/09/1986,55.0263
01/10/1986,56.4285
01/11/1986,54.7764
01/12/1986,52.5876
01/01/1987,53.9591
01/02/1987,57.3634
01/03/1987,58.1907
01/04/1987,56.3949
01/05/1987,57.128
01/06/1987,57.694
01/07/1987,50.169
01/08/1987,54.2659
01/09/1987,57.4774
01/10/1987,60.838
01/11/1987,58.2509
01/12/1987,54.7766
01/01/1988,56.013
01/02/1988,58.1845
01/03/1988,59.6885
01/04/1988,60.0661
01/05/1988,60.3666
01/06/1988,61.7991
01/07/1988,52.698
01/08/1988,56.4999
01/09/1988,60.8389
01/10/1988,63.0912
01/11/1988,60.9529
01/12/1988,58.3704
01/01/1989,61.0785
01/02/1989,63.257
01/03/1989,61.9077
01/04/1989,64.7314
01/05/1989,62.081
01/06/1989,62.6259
01/07/1989,51.2642
01/08/1989,59.0124
01/09/1989,61.3405
01/10/1989,61.8012
01/11/1989,59.2945
01/12/1989,56.863
01/01/1990,54.3715
01/02/1990,60.5788
01/03/1990,63.1558
01/04/1990,60.2504
01/05/1990,61.7621
01/06/1990,63.9573
01/07/1990,53.974
01/08/1990,58.2681
01/09/1990,61.1887
01/10/1990,60.5125
01/11/1990,54.651
01/12/1990,50.8031
01/01/1991,52.0376
01/02/1991,53.1842
01/03/1991,53.7863
01/04/1991,55.6736
01/05/1991,56.3421
01/06/1991,58.6942
01/07/1991,50.601
01/08/1991,56.0009
01/09/1991,59.7437
01/10/1991,61.5063
01/11/1991,58.3998
01/12/1991,53.913
01/01/1992,54.0395
01/02/1992,59.1713
01/03/1992,61.2649
01/04/1992,60.9221
01/05/1992,63.3269
01/06/1992,62.9891
01/07/1992,55.0623
01/08/1992,62.0731
01/09/1992,62.8964
01/10/1992,66.7697
01/11/1992,64.2296
01/12/1992,61.6857
01/01/1993,63.7425
01/02/1993,66.8361
01/03/1993,68.0863
01/04/1993,66.9029
01/05/1993,67.3024
01/06/1993,67.3509
01/07/1993,57.5834
01/08/1993,64.7167
01/09/1993,66.9605
01/10/1993,71.1449
01/11/1993,68.5917
01/12/1993,65.1393
01/01/1994,68.1912
01/02/1994,71.2446
01/03/1994,72.8538
01/04/1994,72.0611
01/05/1994,72.5296
01/06/1994,73.9567
01/07/1994,62.5241
01/08/1994,73.5299
01/09/1994,75.0982
01/10/1994,78.4362
01/11/1994,74.99
01/12/1994,72.1301
01/01/1995,73.1329
01/02/1995,76.8106
01/03/1995,77.7809
01/04/1995,75.0361
01/05/1995,74.8127
01/06/1995,76.9105
01/07/1995,63.8894
01/08/1995,75.1153
01/09/1995,78.1842
01/10/1995,79.255
01/11/1995,76.1173
01/12/1995,72.9117
01/01/1996,71.8786
01/02/1996,77.7018
01/03/1996,76.0499
01/04/1996,77.9899
01/05/1996,78.0477
01/06/1996,81.4774
01/07/1996,68.655
01/08/1996,78.7759
01/09/1996,81.2005
01/10/1996,81.423
01/11/1996,79.1359
01/12/1996,74.3683
01/01/1997,76.9561
01/02/1997,82.4631
01/03/1997,82.2006
01/04/1997,82.5679
01/05/1997,81.5073
01/06/1997,83.1885
01/07/1997,70.8955
01/08/1997,83.9048
01/09/1997,86.2355
01/10/1997,89.6282
01/11/1997,88.2443
01/12/1997,82.7932
01/01/1998,83.8005
01/02/1998,89.3884
01/03/1998,90.9057
01/04/1998,88.5821
01/05/1998,89.8388
01/06/1998,84.9538
01/07/1998,74.537
01/08/1998,91.2263
01/09/1998,92.2965
01/10/1998,96.6551
01/11/1998,91.8237
01/12/1998,88.3964
01/01/1999,90.0866
01/02/1999,96.0547
01/03/1999,97.118
01/04/1999,95.6154
01/05/1999,96.7842
01/06/1999,97.2261
01/07/1999,82.9015
01/08/1999,97.9831
01/09/1999,97.8672
01/10/1999,103.1971
01/11/1999,97.7124
01/12/1999,93.098
01/01/2000,97.9252
01/02/2000,101.9615
01/03/2000,103.1316
01/04/2000,101.34
01/05/2000,100.326
01/06/2000,102.6763
01/07/2000,86.3079
01/08/2000,98.835
01/09/2000,100.5422
01/10/2000,101.0368
01/11/2000,95.0845
01/12/2000,90.2612
01/01/2001,89.5472
01/02/2001,94.0862
01/03/2001,97.7785
01/04/2001,94.36
01/05/2001,96.5756
01/06/2001,97.3901
01/07/2001,83.0804
01/08/2001,95.4353
01/09/2001,95.6431
01/10/2001,96.1717
01/11/2001,93.9684
01/12/2001,90.5965
01/01/2002,93.677
01/02/2002,99.9323
01/03/2002,101.3702
01/04/2002,102.5178
01/05/2002,101.8736
01/06/2002,105.044
01/07/2002,87.0759
01/08/2002,102.5379
01/09/2002,104.6222
01/10/2002,105.8022
01/11/2002,100.918
01/12/2002,93.4498
01/01/2003,99.2643
01/02/2003,104.6883
01/03/2003,107.2779
01/04/2003,101.9836
01/05/2003,102.8713
01/06/2003,104.7115
01/07/2003,87.7056
01/08/2003,104.3135
01/09/2003,108.2941
01/10/2003,109.2154
01/11/2003,105.4313
01/12/2003,98.9362
01/01/2004,100.8253
01/02/2004,109.1692
01/03/2004,110.7181
01/04/2004,106.8291
01/05/2004,105.5755
01/06/2004,106.1826
01/07/2004,90.044
01/08/2004,105.4821
01/09/2004,105.9124
01/10/2004,109.6593
01/11/2004,103.1895
01/12/2004,99.1112
01/01/2005,101.4912
01/02/2005,108.7321
01/03/2005,106.3892
01/04/2005,106.8443
01/05/2005,103.7672
01/06/2005,107.4443
01/07/2005,89.9084
01/08/2005,106.5193
01/09/2005,109.7768
01/10/2005,112.0699
01/11/2005,104.4277
01/12/2005,100.4903
01/01/2006,102.6157
01/02/2006,106.5063
01/03/2006,110.0479
01/04/2006,105.0575
01/05/2006,105.6585
01/06/2006,109.2123
01/07/2006,91.0747
01/08/2006,106.4786
01/09/2006,105.9334
01/10/2006,105.4861
01/11/2006,101.4837
01/12/2006,99.8503
01/01/2007,98.3076
01/02/2007,105.351
01/03/2007,108.4207
01/04/2007,106.5475
01/05/2007,106.7171
01/06/2007,110.3145
01/07/2007,92.7856
01/08/2007,106.4487
01/09/2007,105.3072
01/10/2007,106.0361
01/11/2007,102.6979
01/12/2007,96.6967
01/01/2008,97.3706
01/02/2008,101.9309
01/03/2008,99.1492
01/04/2008,98.2171
01/05/2008,95.1599
01/06/2008,98.2129
01/07/2008,84.5252
01/08/2008,89.6523
01/09/2008,89.2718
01/10/2008,87.9694
01/11/2008,81.4841
01/12/2008,75.6743
01/01/2009,67.8682
01/02/2009,72.3273
01/03/2009,73.6716
01/04/2009,72.1237
01/05/2009,69.1601
01/06/2009,69.8758
01/07/2009,68.3348
01/08/2009,77.0847
01/09/2009,79.7571
01/10/2009,80.3419
01/11/2009,78.8632
01/12/2009,73.8708
01/01/2010,76.8877
01/02/2010,80.3751
01/03/2010,83.3621
01/04/2010,81.533
01/05/2010,84.2751
01/06/2010,85.2143
01/07/2010,75.9024
01/08/2010,84.269
01/09/2010,83.6479
01/10/2010,85.6972
01/11/2010,80.5392
01/12/2010,76.011
01/01/2011,80.4702
01/02/2011,86.1797
01/03/2011,89.9875
01/04/2011,84.0139
01/05/2011,84.7651
01/06/2011,85.8144
01/07/2011,77.1375
01/08/2011,86.6203
01/09/2011,86.1125
01/10/2011,89.5722
01/11/2011,84.3136
01/12/2011,81.401
01/01/2012,85.7226
01/02/2012,89.9803
01/03/2012,91.4097
01/04/2012,89.1212
01/05/2012,88.2848
01/06/2012,89.8586
01/07/2012,79.1107
01/08/2012,87.0849
01/09/2012,85.1935
01/10/2012,87.9431
01/11/2012,85.0174
01/12/2012,81.5992
01/01/2013,85.3081
01/02/2013,92.0199
01/03/2013,93.8212
01/04/2013,93.961
01/05/2013,92.3161
01/06/2013,95.1598
01/07/2013,82.0845
01/08/2013,93.6654
01/09/2013,93.2533
01/10/2013,95.5706
01/11/2013,92.6947
01/12/2013,85.3163
01/01/2014,88.5404
01/02/2014,96.8382
01/03/2014,100.4294
01/04/2014,96.8202
01/05/2014,97.6501
01/06/2014,99.918
01/07/2014,89.2491
01/08/2014,97.5732
01/09/2014,96.3918
01/10/2014,98.318
01/11/2014,95.9892
01/12/2014,90.7861
01/01/2015,93.3712
01/02/2015,98.1104
01/03/2015,103.8257
01/04/2015,101.8384
01/05/2015,102.4718
01/06/2015,101.9191
01/07/2015,93.6676
01/08/2015,102.4111
01/09/2015,100.217
01/10/2015,103.4732
01/11/2015,98.5164
01/12/2015,92.4914
01/01/2016,97.344
